Phase,PhaseIdent,X(m),Y(m),MaterialId,ElementId,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),Eff NormalStress (kPa),Tot Normal Stress (kPa),Shear Stress (kPa),Rel Shear Stress (kPa),Excess Porewater (kPa),Active Porewater (kPa),Steady Porewater (kPa),Suction Porewater (kPa),Porewater (kPa),Effective Suction Porewater (kPa)
Phase_19,Ramped Internal Load [Phase_19],-10.000000,100.902925,8,45,-0.031314,-0.054020,0.062440,-0.002782,-0.004610,0.005384,0.054020,0.031314,-13.511879,-13.511879,5.946060,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,102.375124,8,46,-0.034051,-0.061075,0.069925,-0.002782,-0.004046,0.004910,0.061075,0.034051,-17.201254,-17.201254,7.551319,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,102.200203,8,46,-0.033782,-0.060429,0.069231,-0.002958,-0.004121,0.005073,0.060429,0.033782,-19.591144,-19.591144,8.591167,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,102.025282,8,46,-0.033426,-0.059671,0.068395,-0.003054,-0.004161,0.005162,0.059671,0.033426,-16.339817,-16.339817,7.176505,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,101.850361,8,46,-0.033154,-0.058946,0.067630,-0.003152,-0.004234,0.005278,0.058946,0.033154,-18.785133,-18.785133,8.240469,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,101.675439,8,46,-0.032903,-0.058259,0.066908,-0.003232,-0.004333,0.005406,0.058259,0.032903,-22.753575,-22.753575,9.967151,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,103.008845,8,47,-0.035340,-0.063659,0.072810,-0.002158,-0.003861,0.004423,0.063659,0.035340,-28.707223,-28.707223,12.557601,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,102.850415,8,47,-0.034993,-0.063136,0.072185,-0.002310,-0.003907,0.004539,0.063136,0.034993,-24.401569,-24.401569,10.684198,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,102.691985,8,47,-0.034606,-0.062464,0.071409,-0.002465,-0.003955,0.004661,0.062464,0.034606,-17.335677,-17.335677,7.609806,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,102.533554,8,47,-0.034329,-0.061777,0.070675,-0.002626,-0.004002,0.004786,0.061777,0.034329,-17.351328,-17.351328,7.616616,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,102.375124,8,47,-0.034051,-0.061075,0.069925,-0.002782,-0.004046,0.004910,0.061075,0.034051,-17.201254,-17.201254,7.551319,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,103.582821,8,48,-0.036386,-0.065057,0.074541,-0.001690,-0.003764,0.004126,0.065057,0.036386,-28.374059,-28.374059,12.412641,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,103.439327,8,48,-0.036132,-0.064722,0.074124,-0.001788,-0.003775,0.004177,0.064722,0.036132,-29.338518,-29.338518,12.832280,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,103.295833,8,48,-0.035851,-0.064372,0.073682,-0.001901,-0.003795,0.004245,0.064372,0.035851,-28.344939,-28.344939,12.399970,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,103.152339,8,48,-0.035599,-0.064027,0.073258,-0.002025,-0.003824,0.004327,0.064027,0.035599,-28.879420,-28.879420,12.632525,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Phase_19,Ramped Internal Load [Phase_19],-10.000000,103.008845,8,48,-0.035340,-0.063659,0.072810,-0.002158,-0.003861,0.004423,0.063659,0.035340,-28.707223,-28.707223,12.557601,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
