Phase,PhaseIdent,X(m),Y(m),MaterialID,ElementID,Ux(m),Uy(m),Utot(m),PUx(m),PUy(m),PUt(m),U1(m),U2(m),M2D(kNm/m),Q2D(kN/m),Nx2D(kN/m),Nz2D(kN/m)
Phase_19,Ramped Internal Load [Phase_19],-13.135000,103.765645,4,30,-0.039306,-0.037598,0.054393,-0.001253,-0.016229,0.016277,-0.037598,0.039306,-280.646940,-257.617653,806.487618,161.297524
Phase_19,Ramped Internal Load [Phase_19],-13.135000,103.984205,4,30,-0.039886,-0.037584,0.054804,-0.001255,-0.016213,0.016262,-0.037584,0.039886,-336.964689,-257.617653,808.837673,161.767535
Phase_19,Ramped Internal Load [Phase_19],-13.135000,104.202764,4,30,-0.040354,-0.037571,0.055137,-0.001320,-0.016197,0.016251,-0.037571,0.040354,-393.256413,-257.617653,811.186072,162.237214
Phase_19,Ramped Internal Load [Phase_19],-13.135000,104.202764,4,31,-0.040354,-0.037571,0.055137,-0.001320,-0.016197,0.016251,-0.037571,0.040354,-393.256413,-257.617653,811.187229,162.237446
Phase_19,Ramped Internal Load [Phase_19],-13.135000,104.427073,4,31,-0.040702,-0.037557,0.055382,-0.001464,-0.016181,0.016247,-0.037557,0.040702,-451.029023,-257.617653,813.597408,162.719482
Phase_19,Ramped Internal Load [Phase_19],-13.135000,104.651382,4,31,-0.040897,-0.037543,0.055516,-0.001696,-0.016165,0.016253,-0.037543,0.040897,-508.828341,-257.617653,816.009287,163.201857
Phase_19,Ramped Internal Load [Phase_19],-13.135000,104.875691,4,31,-0.040923,-0.037529,0.055526,-0.002029,-0.016148,0.016275,-0.037529,0.040923,-566.627660,-257.617653,818.421166,163.684233
Phase_19,Ramped Internal Load [Phase_19],-13.135000,105.100000,4,31,-0.040763,-0.037515,0.055398,-0.002474,-0.016132,0.016321,-0.037515,0.040763,-624.400270,-257.617653,820.831345,164.166269
Phase_19,Ramped Internal Load [Phase_19],-10.000000,100.050000,5,32,-0.028083,-0.031734,0.042376,-0.000205,-0.001427,0.001442,-0.031734,0.028083,1492.105711,-474.739112,-1008.088982,-201.617796
Phase_19,Ramped Internal Load [Phase_19],-10.000000,100.263231,5,32,-0.028559,-0.031741,0.042698,-0.001119,-0.001438,0.001822,-0.031741,0.028559,1388.591552,-494.735716,-997.145523,-199.429105
